property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,front_road_width,latitude,longitude,address,district,city_province
Nhà riêng,29.5,121.9,28,28,7,Sổ đỏ chính chủ,,7.1,21.045854172458,105.811497007805,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội",Ba Đình,Hà Nội
Nhà riêng,6.79,59.9,4,5,3,Sổ đỏ/ Sổ hồng,"Tặng full nội thất cao cấp, tủ lạnh, máy lạnh, bàn ăn, sopha cao cấp",4.0,10.692492510211,106.740737387325,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",Nhà Bè,Hồ Chí Minh
Nhà riêng,15.3,35.0,3,,4,Sổ hồng,,3.8,21.0125596614246,105.820101348543,"Ngõ 98, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Đống Đa,Hà Nội
Nhà riêng,5.9,40.0,2,3,5,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.7550477814405,106.629677434235,"239/7, Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh",Quận 6,Hồ Chí Minh
Nhà riêng,5.55,58.9,3,3,3,Sổ đỏ/ Sổ hồng,Full nội thất,3.0,10.6925487664663,106.74055965854,"Hẻm 1716, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",Nhà Bè,Hồ Chí Minh
Nhà riêng,4.85,47.3,3,3,2,Sổ đỏ/ Sổ hồng,"Tặng full nội thất như sofa, bàn trà, kệ tivi, bàn ăn, máy lạnh, giường nệm, tủ quần áo, tab đầu giường, bàn trang điểm.. Vvv",,10.6926445398313,106.740731659288,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",Nhà Bè,Hồ Chí Minh
Nhà riêng,22.8,101.8,24,25,8,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.0009355676938,105.828903589256,"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",Đống Đa,Hà Nội
Nhà riêng,14.3,48.0,3,3,4,Sổ đỏ/ Sổ hồng,Đầy đủ,3.5,21.051648919965,105.863768680138,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Long Biên,Hà Nội
Nhà riêng,8.6,82.4,4,5,4,Sổ đỏ/ Sổ hồng,Đầy đủ,6.4,10.6782489195775,106.754720215717,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà Bè,Hồ Chí Minh
Nhà riêng,7.8,64.0,4,5,4,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.8814984069496,106.680428868259,"Đường Thạnh Lộc 40, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",Quận 12,Hồ Chí Minh
Nhà riêng,5.35,39.0,4,3,3,Sổ đỏ/ Sổ hồng,Đầy đủ,3.5,10.7214870342616,106.622205742075,"Đường Số 44, Trương Đình Hội Phường 16, Quận 8, Hồ Chí Minh",Quận 8,Hồ Chí Minh
Biệt thự,25.0,120.0,4,3,4,Sổ đỏ/ Sổ hồng,Đầy đủ,6.0,21.005751473262,105.7341268121846,"Dự án Geleximco Lê Trọng Tấn - Hoài Đức, Đường Lê Trọng Tấn, Xã An Khánh, Hoài Đức, Hà Nội",Hoài Đức,Hà Nội
Biệt thự,8.8,55.0,6,5,5,Sổ đỏ/ Sổ hồng,Cơ bản,5.0,20.9433225505697,105.980128417338,"Vinhomes Ocean Park 2, Nghĩa Trụ, Văn Giang, Hưng Yên",Văn Giang,Hưng Yên
Biệt thự,16.8,38.0,7,4,5,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,20.97871051170432,105.83657282198646,"Dự án KĐTM Đại Kim - Định Công, Đường Nguyễn Cảnh Dị, Phường Đại Kim, Hoàng Mai, Hà Nội",Hoàng Mai,Hà Nội
Biệt thự,75.0,289.8,,,4,Có sổ,Nội thất theo gu riêng,,21.0028693296877,105.964253126504,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Kiêu Kỵ, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
